date,benchmark_return,strategy_daily_return,strategy_equity,benchmark_equity,strategy_rolling_sharpe_63d,benchmark_rolling_sharpe_63d,strategy_rolling_vol_63d,benchmark_rolling_vol_63d,strategy_drawdown,benchmark_drawdown
2018-01-03,0.006325088250332511,0.0,1.0,1.0063250882503325,,,,,0.0,0.0
2018-01-04,0.004214557397761887,0.0,1.0,1.0105663030955714,,,,,0.0,0.0
2018-01-05,0.0066640054728510645,0.0,1.0,1.0173007224700792,,,,,0.0,0.0
2018-01-08,0.0018289883816184904,0.0,1.0,1.0191613536720892,,,,,0.0,0.0
2018-01-09,0.0022632962722604066,0.0054,1.0054,1.021468017764687,,,,,0.0,0.0
2018-01-10,-0.0015301051068733473,0.0015,1.0069081000000002,1.0199050643341976,,,,,0.0,-0.0015301051068733473
2018-01-11,0.007296513216344946,0.0,1.0069081000000002,1.0273468151155292,,,,,0.0,0.0
2018-01-12,0.0065188040565298255,0.0,1.0069081000000002,1.0340438877013673,,,,,0.0,0.0
2018-01-16,-0.003418348108228164,0.0,1.0069081000000002,1.0305091657340184,,,,,0.0,-0.003418348108228275
2018-01-17,0.009531597828913885,0.0,1.0069081000000002,1.0403315646608047,,,,,0.0,0.0
2018-01-18,-0.0016804914743144828,0.0127,1.01969583287,1.038583296335932,,,,,0.0,-0.0016804914743143717
2018-01-19,0.004549697230278538,0.0,1.01969583287,1.0433085358826852,,,,,0.0,0.0
2018-01-22,0.008130997613072344,-0.0187,1.000627520795331,1.0517916750976453,,,,,-0.01870000000000005,0.0
2018-01-23,0.0021223718339278275,0.0074,1.0080321644492165,1.0540239681240322,,,,,-0.011438380000000081,0.0
2018-01-24,-0.00038822847686470485,0.0,1.0080321644492165,1.0536147660043085,,,,,-0.011438380000000081,-0.00038822847686470485
2018-01-25,0.00042370315825679405,0.0,1.0080321644492165,1.0540611859082505,,,,,-0.011438380000000081,0.0
2018-01-26,0.011577477424001614,0.0,1.0080321644492165,1.0662645554916197,,,,,-0.011438380000000081,0.0
2018-01-29,-0.0066296191507866364,0.0,1.0080321644492165,1.0591956275747274,,,,,-0.011438380000000081,-0.0066296191507866364
2018-01-30,-0.010257187244364308,-0.00845,0.9995142926596207,1.0483312596942815,,,,,-0.019791725689000006,-0.01681880515016243
2018-01-31,0.0004967809223819231,-0.00135,0.9981649483645302,1.0488520506644343,,,,,-0.021115006859319885,-0.01633037948931637
2018-02-01,-0.0011351287160813461,-0.022250000000000002,0.9759557782634194,1.0476614685828043,,,,,-0.04289519795669994,-0.017446971122694888
2018-02-02,-0.021769947802192213,0.0194,0.9948893203617298,1.0248539330973887,,,,,-0.02432736479705988,-0.03883709927423962
2018-02-05,-0.0418225954863406,-0.0571,0.9380811401690751,0.9819918816208715,,,,,-0.08003827226714777,-0.07903542646777084
2018-02-06,0.019702242915945023,-0.0168,0.9223213770142346,1.0013393242140518,,,,,-0.09549362929305971,-0.060890358723059146
2018-02-07,-0.005424789383993489,0.0,0.9223213770142346,0.9959072692782802,,,,,-0.09549362929305971,-0.06598483073546413
2018-02-08,-0.037508881216122614,-0.026699999999999998,0.8976953962479546,0.9585519018126482,,,,,-0.11964394939093492,-0.10101869477346437
2018-02-09,0.015021374752309136,0.0,0.8976953962479546,0.9729506691493146,,,,,-0.11964394939093492,-0.08751475969233646
2018-02-12,0.014684646352761233,0.0070999999999999995,0.9040690335613152,0.9872381056444547,,,,,-0.11339342143161046,-0.07411523663630415
2018-02-13,0.0024871469314047268,0.0,0.9040690335613152,0.9896935118694741,,,,,-0.11339342143161046,-0.07181242518826969
2018-02-14,0.0134965453901299,0.0,0.9040690335613152,1.0030509552747375,,,,,-0.11339342143161046,-0.05928509945426863
2018-02-15,0.012760052784962284,0.0147,0.9173588483546664,1.0158499384100501,,,,,-0.10036030472665525,-0.04728152766770444
2018-02-16,0.0002930332131398927,0.0,0.9173588483546664,1.0161476161815703,,,,,-0.10036030472665525,-0.04700234951253923
2018-02-20,-0.006261456447993807,-0.03005,0.8897922149616087,1.0097850521381166,,,,,-0.1273944775696193,-0.052969502796106904
2018-02-21,-0.004974052449044808,0.0,0.8897922149616087,1.0047623283265201,,,,,-0.1273944775696193,-0.057680082160044166
2018-02-22,0.00129593476300216,0.0575,0.9409552673219013,1.0060644347563534,,,,,-0.07721966002987224,-0.05645889702064599
2018-02-23,0.01593929998409993,0.0,0.9409552673219013,1.022100397585269,,,,,-0.07721966002987224,-0.04141951233292951
2018-02-26,0.011612163117047158,0.0,0.9409552673219013,1.0339691941240279,,,,,-0.07721966002987224,-0.030288319349320858
2018-02-27,-0.01248623126533499,0.0,0.9409552673219013,1.0210588156449631,,,,,-0.07721966002987224,-0.04239636365462196
2018-02-28,-0.010130245928839487,0.0,0.9409552673219013,1.01071523873467,,,,,-0.07721966002987224,-0.052097123993151695
2018-03-01,-0.014540893966819457,0.0,0.9409552673219013,0.9960185356175806,,,,,-0.07721966002987224,-0.06588047920401041
2018-03-02,0.0051552250201809535,0.0,0.9409552673219013,1.0011532352929604,,,,,-0.07721966002987224,-0.06106488287856349
2018-03-05,0.01155785434392409,0.0,0.9409552673219013,1.012724418562425,,,,,-0.07721966002987224,-0.0502128075564785
2018-03-06,0.002535124108537845,0.0,0.9409552673219013,1.0152918006512275,,,,,-0.07721966002987224,-0.04780497914693449
2018-03-07,-0.00036638169959302136,0.0,0.9409552673219013,1.014919816315722,,,,,-0.07721966002987224,-0.04815384597701855
2018-03-08,0.004838684665840587,0.0,0.9409552673219013,1.0198306932679866,,,,,-0.07721966002987224,-0.043548162587308314
2018-03-09,0.017402427191619774,0.0,0.9409552673219013,1.0375782226553618,,,,,-0.07721966002987224,-0.026903579124443078
2018-03-12,-0.0012550720570754237,0.0,0.9409552673219013,1.0362759872210772,,,,,-0.07721966002987224,-0.028124885251124
2018-03-13,-0.0064621984421507905,0.0,0.9409552673219013,1.0295793661508188,,,,,-0.07721966002987224,-0.03440533510361932
2018-03-14,-0.005131838776287534,0.0,0.9409552673219013,1.0242957308363405,,,,,-0.07721966002987224,-0.03936061124711088
2018-03-15,-0.0010899240214392591,0.0443,0.9826395856642615,1.0231793263142444,,,,,-0.03634049096919556,-0.0404076351928534
2018-03-16,0.001084746113176882,0.0,0.9826395856642615,1.0242892161115467,,,,,-0.03634049096919556,-0.039366721104894586
2018-03-19,-0.013530748452210473,0.0,0.9826395856642615,1.0104298163860295,,,,,-0.03634049096919556,-0.05236480835644641
2018-03-20,0.0017008576678843035,0.0,0.9826395856642615,1.0121484136870886,,,,,-0.03634049096919556,-0.050753015774382404
2018-03-21,-0.0019191059314099812,0.0,0.9826395856642615,1.0102059936629146,,,,,-0.03634049096919556,-0.05257472129218277
2018-03-22,-0.024997241655497104,0.0,0.9826395856642615,0.9849536303174912,,,,,-0.03634049096919556,-0.07625773993456875
2018-03-23,-0.021314830735572166,0.0,0.9826395856642615,0.9639595104048865,,,,,-0.03634049096919556,-0.09594714985115838
2018-03-26,0.027359460374732247,0.0,0.9826395856642615,0.9903329224326552,,,,,-0.03634049096919556,-0.0712127517208474
2018-03-27,-0.017011920889018595,0.0,0.9826395856642615,0.9734854571024403,,,,,-0.03634049096919556,-0.08701320691130165
2018-03-28,-0.002954756263749969,0.0,0.9826395856642615,0.9706090448503973,,,,,-0.03634049096919556,-0.08971086035690146
2018-03-29,0.01277751531581317,0.0,0.9826395856642615,0.98301101678664,,,,,-0.03634049096919556,-0.07807962693329351
2018-04-02,-0.02158444693570294,0.0,0.9826395856642615,0.9617932676575974,,,,,-0.03634049096919556,-0.09797876830469521
2018-04-03,0.012816905951837265,0.0,0.9826395856642615,0.9741204815142751,,,,,-0.03634049096919556,-0.08641764701149612
2018-04-04,0.010698960053428186,0.0,0.9826395856642615,0.9845425576332225,-0.2044959680164763,-0.20413930270558914,0.2229872815699036,0.20402906986725627,-0.03634049096919556,-0.07664326591135517
2018-04-05,0.007892058143966318,0.0,0.9826395856642615,0.9923126247432732,-0.2044959680164763,-0.17322643594931722,0.2229872815699036,0.20425561656298602,-0.03634049096919556,-0.0693560808783048
2018-04-06,-0.022285973216218946,0.0,0.9826395856642615,0.9701979721661287,-0.2044959680164763,-0.6771769176768971,0.2229872815699036,0.20878531332814695,-0.03634049096919556,-0.09009638633368788
2018-04-09,0.004928759529588822,0.0,0.9826395856642615,0.9749798446670302,-0.2044959680164763,-0.7111549811870163,0.2229872815699036,0.20856997789881573,-0.03634049096919556,-0.0856116902268228
