# Post-Earnings Next-Day Outcomes for MA
# total_earnings=78, considered=77, excluded_c2o_zero=1, excluded_o2c_zero=0
# sum_pct=100.0
Scenario,Count,Denominator,Fraction,Percent,Dates
"After +C->O, next day UP",22,77,22/77 = 28.57%,28.57,2007-05-02;2008-01-31;2008-04-29;2008-11-03;2009-02-05;2009-05-01;2009-11-03;2010-08-03;2010-11-02;2011-02-03;2012-02-02;2012-10-31;2013-07-31;2013-10-31;2014-10-30;2018-10-30;2019-01-31;2019-10-29;2022-01-27;2024-01-31;2024-10-31;2025-05-01
"After +C->O, next day DOWN",23,77,23/77 = 29.87%,29.87,2009-07-30;2010-02-04;2012-05-02;2013-01-31;2014-01-31;2015-10-29;2016-07-14;2016-10-28;2017-01-31;2017-05-02;2017-07-27;2017-10-31;2018-07-26;2019-04-30;2019-07-30;2020-07-30;2020-10-28;2021-07-29;2022-07-28;2023-07-27;2023-10-26;2024-05-01;2024-07-31
"After -C->O, next day UP",18,77,18/77 = 23.38%,23.38,2006-08-02;2006-11-01;2007-02-09;2007-10-31;2011-05-03;2011-11-02;2013-05-01;2014-07-31;2015-01-30;2015-07-29;2016-01-29;2016-04-28;2018-05-02;2020-01-29;2021-10-28;2022-10-27;2023-04-27;2025-10-30
"After -C->O, next day DOWN",14,77,14/77 = 18.18%,18.18,2007-08-01;2008-07-31;2010-05-04;2011-08-03;2012-08-01;2014-05-01;2018-02-01;2020-04-29;2021-01-28;2021-04-29;2022-04-28;2023-01-26;2025-01-30;2025-07-31
