# Post-Earnings Next-Day Outcomes for LYV
# total_earnings=80, considered=78, excluded_c2o_zero=2, excluded_o2c_zero=0
# sum_pct=100.0
Scenario,Count,Denominator,Fraction,Percent,Dates
"After +C→O, next day UP",19,78,19/78 = 24.36%,24.36,2025-05-01;2024-05-02;2023-05-04;2021-11-04;2021-02-25;2020-05-07;2019-02-28;2017-11-02;2017-05-04;2016-07-28;2016-05-03;2015-04-30;2014-10-30;2014-05-06;2013-08-06;2012-11-05;2012-05-09;2009-02-13;2008-08-07
"After +C→O, next day DOWN",23,78,23/78 = 29.49%,29.49,2025-02-20;2024-02-22;2023-11-02;2023-07-27;2022-11-03;2022-05-05;2021-08-03;2019-07-25;2019-05-02;2018-11-01;2018-07-26;2018-05-03;2017-08-09;2017-02-23;2016-11-07;2015-10-29;2014-02-24;2011-08-08;2011-05-05;2011-01-26;2009-08-06;2008-11-06;2006-05-05
"After −C→O, next day UP",20,78,20/78 = 25.64%,25.64,2025-08-07;2024-07-30;2022-02-23;2021-05-06;2020-11-05;2020-08-05;2020-02-27;2016-02-25;2015-08-10;2013-02-26;2012-08-07;2010-11-04;2010-05-10;2010-02-25;2009-11-09;2009-05-07;2008-02-28;2007-08-09;2007-05-10;2006-02-21
"After −C→O, next day DOWN",16,78,16/78 = 20.51%,20.51,2025-11-04;2024-11-12;2023-02-23;2022-08-04;2019-10-31;2018-02-27;2015-02-26;2014-07-31;2013-11-05;2012-02-23;2011-11-03;2010-08-05;2007-11-08;2007-03-01;2006-11-07;2006-08-04
