# Post-Earnings Next-Day Outcomes for JPM
# total_earnings=49, considered=48, excluded_c2o_zero=1, excluded_o2c_zero=0
# sum_pct=99.99
Scenario,Count,Denominator,Fraction,Percent,Dates
"After +C→O, next day UP",12,48,12/48 = 25.00%,25.0,2025-01-15;2024-07-12;2023-07-14;2022-10-14;2022-07-14;2021-10-13;2021-04-14;2019-01-15;2018-07-13;2017-04-13;2015-04-14;2014-07-15
"After +C→O, next day DOWN",16,48,16/48 = 33.33%,33.33,2025-10-14;2025-07-15;2025-04-11;2024-10-11;2024-04-12;2023-10-13;2023-04-14;2021-07-13;2021-01-15;2020-10-13;2020-07-14;2018-10-12;2018-04-13;2016-07-14;2015-07-14;2014-04-11
"After −C→O, next day UP",7,48,7/48 = 14.58%,14.58,2024-01-12;2018-01-12;2017-10-12;2016-04-13;2016-01-14;2014-01-14;2013-10-11
"After −C→O, next day DOWN",13,48,13/48 = 27.08%,27.08,2023-01-13;2022-04-13;2022-01-14;2020-04-14;2020-01-14;2019-07-16;2019-04-12;2017-07-14;2017-01-13;2016-10-14;2015-10-13;2015-01-14;2014-10-14
