# Post-Earnings Next-Day Outcomes for GILD
# total_earnings=85, considered=83, excluded_c2o_zero=2, excluded_o2c_zero=0
# sum_pct=100.01
Scenario,Count,Denominator,Fraction,Percent,Dates
"After +C->O, next day UP",24,83,24/83 = 28.92%,28.92,2005-01-28;2005-04-19;2006-04-18;2006-10-18;2007-01-31;2007-04-18;2008-10-16;2009-01-27;2010-01-26;2010-10-19;2012-02-02;2012-07-26;2013-02-04;2013-05-02;2013-10-29;2015-04-30;2016-02-02;2019-05-02;2022-08-02;2022-10-27;2023-08-03;2024-11-06;2025-02-11;2025-08-07
"After +C->O, next day DOWN",12,83,12/83 = 14.46%,14.46,2005-07-19;2008-01-23;2009-04-21;2012-10-23;2013-07-25;2014-04-22;2014-07-23;2015-07-28;2017-07-26;2021-01-11;2023-02-02;2024-04-25
"After -C->O, next day UP",20,83,20/83 = 24.10%,24.1,2006-07-20;2009-07-21;2009-10-20;2010-07-20;2011-01-25;2011-07-26;2011-10-27;2014-10-28;2017-05-02;2017-10-26;2018-02-06;2018-07-25;2018-10-25;2019-10-24;2020-10-28;2021-04-29;2022-02-01;2023-11-07;2025-04-24;2025-10-30
"After -C->O, next day DOWN",27,83,27/83 = 32.53%,32.53,2004-10-21;2005-10-18;2007-07-19;2007-10-18;2008-04-16;2008-07-17;2010-04-20;2011-04-20;2012-04-26;2014-02-04;2015-02-03;2015-10-27;2016-04-28;2016-07-25;2016-11-01;2017-02-07;2018-05-01;2019-02-04;2019-07-30;2020-02-04;2020-04-30;2020-07-30;2021-07-29;2021-10-28;2023-04-27;2024-02-06;2024-08-08
