# Post-Earnings Next-Day Outcomes for NDSN
# total_earnings=85, considered=85, excluded_c2o_zero=0, excluded_o2c_zero=0
# sum_pct=100.0
Scenario,Count,Denominator,Fraction,Percent,Dates
"After +C→O, next day UP",25,85,25/85 = 29.41%,29.41,2024-08-21;2024-02-21;2023-12-13;2023-05-22;2023-02-21;2022-12-14;2022-08-22;2021-02-22;2018-12-12;2017-12-13;2016-08-22;2016-05-23;2016-02-22;2014-05-22;2012-08-20;2012-02-23;2010-12-15;2010-05-20;2008-05-21;2007-12-18;2007-08-23;2006-12-19;2006-02-27;2005-12-13;2005-08-23
"After +C→O, next day DOWN",19,85,19/85 = 22.35%,22.35,2025-08-20;2025-05-28;2022-05-23;2021-08-30;2021-05-24;2020-05-20;2016-12-13;2014-08-21;2012-12-13;2012-05-21;2011-02-22;2010-08-19;2010-02-22;2009-08-20;2009-05-21;2008-02-21;2005-05-25;2005-02-22;2004-08-25
"After −C→O, next day UP",20,85,20/85 = 23.53%,23.53,2025-02-19;2023-08-21;2022-02-22;2020-02-19;2019-08-20;2019-05-20;2019-02-20;2018-08-20;2017-02-21;2015-05-19;2015-02-24;2014-12-11;2014-02-25;2013-12-11;2013-08-22;2013-05-23;2011-08-18;2008-12-17;2006-08-23;2004-12-08
"After −C→O, next day DOWN",21,85,21/85 = 24.71%,24.71,2024-12-11;2024-05-20;2021-12-15;2020-12-15;2020-08-19;2019-12-11;2018-05-21;2018-02-22;2017-08-21;2017-05-22;2015-12-10;2015-08-20;2013-02-21;2011-12-14;2011-05-19;2009-12-16;2009-02-19;2008-08-21;2007-05-09;2007-02-27;2006-05-26
