# Post-Earnings Next-Day Outcomes for GOOG
# total_earnings=41, considered=40, excluded_c2o_zero=0, excluded_o2c_zero=1
# sum_pct=100.0
Scenario,Count,Denominator,Fraction,Percent,Dates
"After +C→O, next day UP",4,40,4/40 = 10.00%,10.0,2022-07-26;2021-10-26;2019-07-25;2017-10-26
"After +C→O, next day DOWN",19,40,19/40 = 47.50%,47.5,2025-10-29;2025-07-23;2025-04-24;2024-10-29;2024-04-25;2023-07-25;2023-04-20;2022-02-01;2021-07-27;2021-04-27;2021-02-02;2020-10-29;2018-07-23;2017-04-27;2017-01-26;2016-10-27;2016-07-28;2016-02-01;2015-10-22
"After −C→O, next day UP",6,40,6/40 = 15.00%,15.0,2025-02-04;2023-02-02;2022-04-26;2019-04-29;2019-02-04;2018-10-25
"After −C→O, next day DOWN",11,40,11/40 = 27.50%,27.5,2024-07-23;2024-01-30;2023-10-24;2022-10-25;2020-07-30;2020-02-03;2019-10-28;2018-04-23;2018-02-01;2017-07-24;2016-04-21
