Ticker,pos_then_up,pos_then_down,neg_then_up,neg_then_down,considered,total_earnings,sum_pct
EMN,23/86 = 26.74%,16/86 = 18.60%,23/86 = 26.74%,24/86 = 27.91%,86,88,99.99
INTU,22/85 = 25.88%,23/85 = 27.06%,21/85 = 24.71%,19/85 = 22.35%,85,85,100.0
ALB,20/82 = 24.39%,24/82 = 29.27%,19/82 = 23.17%,19/82 = 23.17%,82,86,100.0
ODFL,31/85 = 36.47%,21/85 = 24.71%,19/85 = 22.35%,14/85 = 16.47%,85,86,100.0
APP,9/19 = 47.37%,8/19 = 42.11%,1/19 = 5.26%,1/19 = 5.26%,19,19,100.0
BDX,20/81 = 24.69%,20/81 = 24.69%,22/81 = 27.16%,19/81 = 23.46%,81,85,100.0
NXPI,10/25 = 40.00%,6/25 = 24.00%,5/25 = 20.00%,4/25 = 16.00%,25,25,100.0
TGT,21/83 = 25.30%,21/83 = 25.30%,21/83 = 25.30%,20/83 = 24.10%,83,85,100.0
HPE,7/39 = 17.95%,12/39 = 30.77%,14/39 = 35.90%,6/39 = 15.38%,39,40,100.0
VTR,27/81 = 33.33%,19/81 = 23.46%,18/81 = 22.22%,17/81 = 20.99%,81,83,100.0
NRG,28/82 = 34.15%,20/82 = 24.39%,18/82 = 21.95%,16/82 = 19.51%,82,85,100.0
APA,4/19 = 21.05%,9/19 = 47.37%,5/19 = 26.32%,1/19 = 5.26%,19,19,100.0
BIIB,25/83 = 30.12%,18/83 = 21.69%,19/83 = 22.89%,21/83 = 25.30%,83,86,100.0
COIN,3/18 = 16.67%,6/18 = 33.33%,3/18 = 16.67%,6/18 = 33.33%,18,18,100.0
APH,38/81 = 46.91%,20/81 = 24.69%,17/81 = 20.99%,6/81 = 7.41%,81,85,100.0
L,23/80 = 28.75%,16/80 = 20.00%,24/80 = 30.00%,17/80 = 21.25%,80,83,100.0
UNP,25/86 = 29.07%,25/86 = 29.07%,17/86 = 19.77%,19/86 = 22.09%,86,89,100.0
BG,0/8 = 0.00%,6/8 = 75.00%,2/8 = 25.00%,0/8 = 0.00%,8,8,100.0
SPG,31/80 = 38.75%,24/80 = 30.00%,11/80 = 13.75%,14/80 = 17.50%,80,83,100.0
GPN,27/83 = 32.53%,20/83 = 24.10%,15/83 = 18.07%,21/83 = 25.30%,83,85,100.0
SW,3/6 = 50.00%,0/6 = 0.00%,1/6 = 16.67%,2/6 = 33.33%,6,6,100.0
VICI,6/31 = 19.35%,13/31 = 41.94%,8/31 = 25.81%,4/31 = 12.90%,31,31,100.0
UBER,7/27 = 25.93%,12/27 = 44.44%,5/27 = 18.52%,3/27 = 11.11%,27,27,100.0
CAG,29/83 = 34.94%,20/83 = 24.10%,17/83 = 20.48%,17/83 = 20.48%,83,88,100.0
WM,30/81 = 37.04%,19/81 = 23.46%,13/81 = 16.05%,19/81 = 23.46%,81,85,100.01
GNRC,16/62 = 25.81%,22/62 = 35.48%,8/62 = 12.90%,16/62 = 25.81%,62,63,100.0
DASH,4/20 = 20.00%,9/20 = 45.00%,3/20 = 15.00%,4/20 = 20.00%,20,20,100.0
PKG,21/79 = 26.58%,25/79 = 31.65%,17/79 = 21.52%,16/79 = 20.25%,79,85,100.0
VRTX,20/86 = 23.26%,23/86 = 26.74%,15/86 = 17.44%,28/86 = 32.56%,86,87,100.0
DHR,19/81 = 23.46%,23/81 = 28.40%,19/81 = 23.46%,20/81 = 24.69%,81,87,100.01
XYL,18/56 = 32.14%,14/56 = 25.00%,6/56 = 10.71%,18/56 = 32.14%,56,57,99.99
HCA,15/57 = 26.32%,19/57 = 33.33%,13/57 = 22.81%,10/57 = 17.54%,57,58,100.0
KEY,29/79 = 36.71%,15/79 = 18.99%,22/79 = 27.85%,13/79 = 16.46%,79,84,100.01
BXP,22/79 = 27.85%,16/79 = 20.25%,13/79 = 16.46%,28/79 = 35.44%,79,85,100.0
