# Percentages of next-day outcomes conditional on earnings-day open move
Ticker,pos_then_up_pct,pos_then_down_pct,neg_then_up_pct,neg_then_down_pct,considered,total_earnings,sum_pct
NRG,34.15,24.39,21.95,19.51,82,85,100.0
APA,21.05,47.37,26.32,5.26,19,19,100.0
BIIB,30.12,21.69,22.89,25.3,83,86,100.0
COIN,16.67,33.33,16.67,33.33,18,18,100.0
APH,46.91,24.69,20.99,7.41,81,85,100.0
L,28.75,20.0,30.0,21.25,80,83,100.0
UNP,29.07,29.07,19.77,22.09,86,89,100.0
BG,0.0,75.0,25.0,0.0,8,8,100.0
SPG,38.75,30.0,13.75,17.5,80,83,100.0
GPN,32.53,24.1,18.07,25.3,83,85,100.0
SW,50.0,0.0,16.67,33.33,6,6,100.0
VICI,19.35,41.94,25.81,12.9,31,31,100.0
UBER,25.93,44.44,18.52,11.11,27,27,100.0
CAG,34.94,24.1,20.48,20.48,83,88,100.0
WM,37.04,23.46,16.05,23.46,81,85,100.01
GNRC,25.81,35.48,12.9,25.81,62,63,100.0
DASH,20.0,45.0,15.0,20.0,20,20,100.0
PKG,26.58,31.65,21.52,20.25,79,85,100.0
VRTX,23.26,26.74,17.44,32.56,86,87,100.0
DHR,23.46,28.4,23.46,24.69,81,87,100.01
XYL,32.14,25.0,10.71,32.14,56,57,99.99
HCA,26.32,33.33,22.81,17.54,57,58,100.0
KEY,36.71,18.99,27.85,16.46,79,84,100.01
BXP,27.85,20.25,16.46,35.44,79,85,100.0
CFG,16.67,42.86,23.81,16.67,42,45,100.01
MCD,19.77,30.23,25.58,24.42,86,88,100.0
DOW,20.0,36.0,24.0,20.0,25,26,100.0
AVY,28.05,24.39,25.61,21.95,82,85,100.0
FTNT,28.12,29.69,20.31,21.88,64,64,100.0
ALL,32.91,27.85,15.19,24.05,79,81,100.0
SYF,33.33,22.22,20.0,24.44,45,45,99.99
KVUE,11.11,11.11,33.33,44.44,9,10,99.99
MKTX,31.71,24.39,26.83,17.07,82,83,100.0
CAH,16.67,28.57,29.76,25.0,84,89,100.0
ES,23.08,25.64,29.49,21.79,78,84,100.0
TECH,20.48,28.92,19.28,31.33,83,86,100.01
EBAY,25.88,23.53,14.12,36.47,85,85,100.0
WAB,25.0,32.5,20.0,22.5,80,83,100.0
JPM,25.0,33.33,14.58,27.08,48,49,99.99
COO,22.89,22.89,31.33,22.89,83,84,100.0
LOW,25.0,23.68,23.68,27.63,76,85,99.99
TSCO,35.0,26.25,21.25,17.5,80,84,100.0
WDC,18.6,29.07,27.91,24.42,86,87,100.0
STT,30.23,25.58,22.09,22.09,86,88,99.99
ABBV,27.66,23.4,17.02,31.91,47,50,99.99
ORLY,25.97,19.48,27.27,27.27,77,78,99.99
NUE,31.71,29.27,17.07,21.95,82,84,100.0
BA,22.22,32.1,27.16,18.52,81,82,100.0
ROST,22.62,33.33,27.38,16.67,84,84,100.0
EMR,21.95,32.93,23.17,21.95,82,85,100.0
KEYS,25.0,34.09,25.0,15.91,44,44,100.0
GWW,31.25,23.75,18.75,26.25,80,82,100.0
SMCI,37.5,23.61,11.11,27.78,72,75,100.0
AXP,20.0,15.0,30.0,35.0,60,61,100.0
D,25.0,30.0,22.5,22.5,80,87,100.0
PGR,27.38,28.57,21.43,22.62,84,86,100.0
WFC,42.86,14.29,25.0,17.86,28,29,100.01
AIG,19.67,27.87,21.31,31.15,61,64,100.0
O,24.69,27.16,30.86,17.28,81,85,99.99
SYY,25.64,21.79,21.79,30.77,78,85,99.99
NVDA,34.48,22.99,16.09,26.44,87,90,100.0
UPS,27.85,18.99,24.05,29.11,79,83,100.0
MSTR,21.88,17.19,26.56,34.38,64,65,100.01
PANW,27.45,31.37,17.65,23.53,51,54,100.0
CTSH,33.73,28.92,14.46,22.89,83,86,100.0
AAPL,25.0,36.9,19.05,19.05,84,85,100.0
ERIE,20.25,22.78,26.58,30.38,79,84,99.99
VLO,22.78,31.65,17.72,27.85,79,84,100.0
HUM,25.64,21.79,26.92,25.64,78,82,99.99
FDS,25.32,17.72,27.85,29.11,79,84,100.0
LKQ,23.08,32.05,28.21,16.67,78,81,100.01
GM,29.31,29.31,20.69,20.69,58,60,100.0
TAP,19.77,18.6,29.07,32.56,86,89,100.0
SRE,27.16,30.86,25.93,16.05,81,86,100.0
AON,22.78,22.78,26.58,27.85,79,84,99.99
PH,25.61,31.71,24.39,18.29,82,84,100.0
VTRS,15.79,21.05,42.11,21.05,19,20,100.0
CMCSA,21.69,26.51,28.92,22.89,83,84,100.01
AXON,35.62,27.4,13.7,23.29,73,75,100.01
PSX,22.64,16.98,30.19,30.19,53,53,100.0
PNW,27.94,25.0,22.06,25.0,68,68,100.0
WMB,32.94,23.53,22.35,21.18,85,85,100.0
ETR,33.33,19.75,29.63,17.28,81,85,99.99
LMT,25.93,43.21,16.05,14.81,81,85,100.0
CME,20.73,29.27,24.39,25.61,82,89,100.0
SNPS,32.56,32.56,16.28,18.6,86,86,100.0
ETN,25.0,28.85,26.92,19.23,52,52,100.0
SBAC,22.89,32.53,28.92,15.66,83,86,100.0
FDX,21.43,28.57,26.19,23.81,84,85,100.0
AMAT,21.43,25.0,29.76,23.81,84,84,100.0
NSC,32.93,23.17,21.95,21.95,82,84,100.0
PEP,33.72,23.26,26.74,16.28,86,89,100.0
TYL,29.87,23.38,24.68,22.08,77,81,100.01
PFE,25.32,31.65,15.19,27.85,79,85,100.01
IRM,25.93,22.22,30.86,20.99,81,88,100.0
AOS,29.27,36.59,15.85,18.29,82,85,100.0
CNP,25.93,25.93,19.75,28.4,81,83,100.01
LW,22.22,22.22,36.11,19.44,36,36,99.99
REGN,20.24,22.62,22.62,34.52,84,85,100.0
ABT,38.75,26.25,17.5,17.5,80,86,100.0
SJM,20.0,25.33,21.33,33.33,75,82,99.99
XOM,25.93,16.05,29.63,28.4,81,85,100.01
MRVL,16.67,16.67,22.22,44.44,18,18,100.0
KDP,29.03,27.42,22.58,20.97,62,66,100.0
ECL,28.4,28.4,23.46,19.75,81,85,100.01
NVR,22.5,20.0,27.5,30.0,80,85,100.0
HSY,31.71,23.17,19.51,25.61,82,84,100.0
UAL,36.21,34.48,12.07,17.24,58,58,100.0
MA,28.57,29.87,23.38,18.18,77,78,100.0
MPWR,35.37,31.71,24.39,8.54,82,84,100.01
PYPL,34.15,19.51,17.07,29.27,41,41,100.0
TDG,38.24,27.94,20.59,13.24,68,75,100.01
CL,30.86,20.99,19.75,28.4,81,82,100.0
PTC,24.71,28.24,24.71,22.35,85,86,100.01
OTIS,39.13,34.78,8.7,17.39,23,23,100.0
C,24.0,32.0,26.0,18.0,50,50,100.0
BAX,20.69,28.74,24.14,26.44,87,89,100.01
IP,18.82,25.88,30.59,24.71,85,87,100.0
F,27.12,20.34,16.95,35.59,59,61,100.0
HBAN,32.31,27.69,21.54,18.46,65,68,100.0
HIG,34.57,20.99,19.75,24.69,81,86,100.0
VLTO,44.44,11.11,22.22,22.22,9,9,99.99
RCL,27.16,27.16,22.22,23.46,81,83,100.0
DLR,20.59,25.0,20.59,33.82,68,69,100.0
MOH,31.25,23.75,18.75,26.25,80,82,100.0
MCK,30.49,28.05,17.07,24.39,82,84,100.0
NKE,28.57,26.19,19.05,26.19,84,85,100.0
LYB,28.07,29.82,15.79,26.32,57,60,100.0
AMCR,25.0,25.0,20.83,29.17,24,26,100.0
APO,12.5,31.25,43.75,12.5,16,16,100.0
EQT,23.53,25.88,23.53,27.06,85,89,100.0
MHK,35.29,23.53,15.29,25.88,85,86,99.99
HAL,34.12,31.76,21.18,12.94,85,89,100.0
ADM,26.25,26.25,17.5,30.0,80,84,100.0
TSN,30.0,20.0,26.25,23.75,80,84,100.0
ISRG,38.37,20.93,18.6,22.09,86,86,99.99
LYV,24.36,29.49,25.64,20.51,78,80,100.0
MLM,19.75,25.93,29.63,24.69,81,85,100.0
DHI,27.16,28.4,17.28,27.16,81,86,100.0
EXPD,27.59,20.69,28.74,22.99,87,90,100.01
BX,38.57,35.71,12.86,12.86,70,73,100.0
COST,23.53,25.88,29.41,21.18,85,86,100.0
CHRW,27.38,20.24,21.43,30.95,84,85,100.0
CINF,28.24,29.41,15.29,27.06,85,87,100.0
PNR,20.24,36.9,21.43,21.43,84,85,100.0
PLD,23.81,30.95,22.62,22.62,84,85,100.0
HSIC,23.53,17.65,30.59,28.24,85,86,100.01
VRSK,27.59,24.14,24.14,24.14,58,62,100.01
JNJ,19.28,31.33,28.92,20.48,83,85,100.01
APD,19.28,21.69,31.33,27.71,83,85,100.01
CPT,36.0,29.33,18.67,16.0,75,85,100.0
HAS,18.29,30.49,24.39,26.83,82,84,100.0
HST,27.85,35.44,24.05,12.66,79,85,100.0
TER,28.4,24.69,27.16,19.75,81,85,100.0
SLB,31.65,24.05,25.32,18.99,79,84,100.01
AIZ,29.07,19.77,26.74,24.42,86,87,100.0
MTB,28.57,21.43,23.81,26.19,84,85,100.0
CPAY,40.35,21.05,12.28,26.32,57,60,100.0
PWR,29.76,29.76,20.24,20.24,84,84,100.0
CEG,42.86,28.57,7.14,21.43,14,14,100.0
TTWO,30.77,30.77,15.38,23.08,78,80,100.0
JCI,26.58,26.58,22.78,24.05,79,86,99.99
MTD,32.93,21.95,25.61,19.51,82,83,100.0
STE,44.44,18.52,7.41,29.63,27,27,100.0
TMUS,39.44,28.17,18.31,14.08,71,74,100.0
FRT,17.5,32.5,25.0,25.0,80,84,100.0
CTAS,30.95,35.71,13.1,20.24,84,87,100.0
PPL,20.0,36.36,12.73,30.91,55,60,100.0
URI,34.94,25.3,22.89,16.87,83,84,100.0
IVZ,15.49,32.39,26.76,25.35,71,74,99.99
ENPH,27.27,21.82,27.27,23.64,55,55,100.0
TDY,21.95,34.15,18.29,25.61,82,85,100.0
AWK,24.64,31.88,26.09,17.39,69,71,100.0
ZBRA,22.78,30.38,18.99,27.85,79,83,100.0
CDW,32.65,20.41,16.33,30.61,49,50,100.0
DLTR,22.37,28.95,25.0,23.68,76,76,100.0
GILD,28.92,14.46,24.1,32.53,83,85,100.01
ALLE,31.11,28.89,26.67,13.33,45,48,100.0
STZ,30.77,33.33,17.95,17.95,78,81,100.0
LDOS,22.22,33.33,23.61,20.83,72,74,99.99
SO,23.81,28.57,21.43,26.19,84,88,100.0
CAT,20.0,25.71,25.71,28.57,70,70,99.99
ULTA,34.72,34.72,19.44,11.11,72,72,99.99
FANG,26.0,28.0,32.0,14.0,50,51,100.0
APTV,34.55,30.91,10.91,23.64,55,56,100.01
DAY,19.35,32.26,25.81,22.58,31,31,100.0
PCAR,24.42,36.05,25.58,13.95,86,89,100.0
