# Post-Earnings Next-Day Outcomes for CME
# total_earnings=89, considered=82, excluded_c2o_zero=6, excluded_o2c_zero=1
# sum_pct=100.0
Scenario,Count,Denominator,Fraction,Percent,Dates
"After +C->O, next day UP",17,82,17/82 = 20.73%,20.73,2005-02-01;2005-04-26;2005-10-25;2007-10-24;2008-04-22;2008-10-29;2010-02-04;2011-11-01;2012-02-02;2012-10-25;2014-10-30;2015-02-05;2016-07-28;2017-04-27;2020-02-12;2021-04-28;2024-07-24
"After +C->O, next day DOWN",24,82,24/82 = 29.27%,29.27,2004-07-22;2006-04-25;2006-10-24;2007-01-30;2007-04-24;2007-07-24;2009-02-03;2010-04-29;2012-04-26;2012-07-26;2013-05-02;2013-11-04;2014-02-04;2015-04-30;2017-02-02;2018-02-01;2021-02-10;2021-07-28;2022-04-27;2022-10-26;2023-02-08;2023-07-26;2025-02-12;2025-10-22
"After -C->O, next day UP",20,82,20/82 = 24.39%,24.39,2004-10-26;2008-07-22;2010-10-28;2011-07-28;2013-08-01;2014-07-31;2016-02-05;2016-04-28;2017-08-01;2017-10-26;2018-10-25;2019-07-31;2019-10-30;2020-07-29;2020-10-28;2021-10-27;2022-07-27;2024-04-24;2024-10-23;2025-07-23
"After -C->O, next day DOWN",21,82,21/82 = 25.61%,25.61,2003-10-22;2004-02-03;2005-07-26;2006-01-31;2008-02-05;2009-04-23;2009-10-29;2010-07-29;2011-04-28;2013-02-05;2014-05-01;2015-07-30;2015-10-29;2018-04-26;2018-07-26;2019-02-14;2019-05-01;2020-04-29;2022-02-09;2023-04-26;2024-02-14
