# Post-Earnings Next-Day Outcomes for KDP
# total_earnings=66, considered=62, excluded_c2o_zero=4, excluded_o2c_zero=0
# sum_pct=100.0
Scenario,Count,Denominator,Fraction,Percent,Dates
"After +C→O, next day UP",18,62,18/62 = 29.03%,29.03,2022-10-27;2022-02-24;2021-10-28;2021-07-29;2019-02-28;2018-11-07;2018-08-08;2017-10-25;2016-10-27;2016-02-17;2015-07-23;2013-02-13;2012-10-24;2012-07-26;2011-02-17;2010-05-06;2009-11-05;2009-08-13
"After +C→O, next day DOWN",17,62,17/62 = 27.42%,27.42,2024-10-24;2024-02-22;2023-07-27;2022-04-28;2021-02-25;2020-07-30;2017-04-26;2015-10-22;2015-04-23;2014-10-23;2013-10-23;2013-07-24;2013-04-24;2012-04-25;2011-10-26;2011-04-27;2010-10-27
"After −C→O, next day UP",14,62,14/62 = 22.58%,22.58,2024-07-25;2024-04-25;2023-10-26;2022-07-28;2020-02-27;2019-08-08;2019-05-09;2017-02-14;2016-04-27;2014-02-12;2012-02-15;2010-07-29;2010-02-25;2008-08-13
"After −C→O, next day DOWN",13,62,13/62 = 20.97%,20.97,2025-10-27;2025-07-24;2025-02-25;2023-04-27;2023-02-23;2021-04-29;2020-10-29;2017-07-27;2015-02-12;2011-07-27;2009-03-26;2008-11-13;2008-06-05
