# Post-Earnings Next-Day Outcomes for PCG
# total_earnings=45, considered=45, excluded_c2o_zero=0, excluded_o2c_zero=0
# sum_pct=100.0
Scenario,Count,Denominator,Fraction,Percent,Dates
"After +C->O, next day UP",15,45,15/45 = 33.33%,33.33,2014-10-28;2016-11-04;2017-02-16;2017-11-02;2018-02-09;2018-05-03;2019-02-28;2019-11-07;2020-02-18;2020-05-01;2022-07-28;2023-02-23;2023-07-27;2024-02-22;2025-10-23
"After +C->O, next day DOWN",7,45,7/45 = 15.56%,15.56,2016-02-18;2016-05-04;2018-11-05;2021-11-01;2022-02-10;2024-04-25;2024-07-25
"After -C->O, next day UP",9,45,9/45 = 20.00%,20.0,2015-07-29;2016-07-28;2017-05-02;2019-05-02;2020-07-30;2021-04-29;2023-05-04;2024-11-07;2025-07-31
"After -C->O, next day DOWN",14,45,14/45 = 31.11%,31.11,2015-02-10;2015-04-29;2015-10-28;2017-07-27;2018-07-26;2019-08-09;2020-10-29;2021-02-25;2021-07-29;2022-04-28;2022-10-27;2023-10-26;2025-02-13;2025-04-24
