date,close_to_open_pct,open_to_close_pct,close_to_close_pct,scenario,conditional_sign,next_day_sign
2008-01-22,-8.1,18.05,8.49,neg_then_up,negative,up
2008-04-15,1.79,-0.88,0.89,pos_then_down,positive,down
2008-07-22,-1.14,4.7,3.51,neg_then_up,negative,up
2008-10-21,-7.0,2.19,-4.96,neg_then_up,negative,up
2009-01-20,4.13,3.34,7.61,pos_then_up,positive,up
2009-04-16,1.19,6.64,7.91,pos_then_up,positive,up
2009-07-21,-0.58,2.94,2.34,neg_then_up,negative,up
2009-10-20,-2.24,0.53,-1.72,neg_then_up,negative,up
2010-01-26,-0.49,1.98,1.48,neg_then_up,negative,up
2010-04-20,-2.05,1.97,-0.11,neg_then_up,negative,up
2010-07-27,-1.39,2.39,0.97,neg_then_up,negative,up
2010-10-26,-0.77,-0.93,-1.7,neg_then_down,negative,down
2011-01-25,-1.0,0.29,-0.71,neg_then_up,negative,up
2011-04-19,1.26,-2.75,-1.53,pos_then_down,positive,down
2011-07-26,-1.09,-3.46,-4.52,neg_then_down,negative,down
2011-10-25,2.43,1.05,3.5,pos_then_up,positive,up
2012-01-11,-1.46,-0.85,-2.29,neg_then_down,negative,down
2012-04-24,2.48,0.61,3.1,pos_then_up,positive,up
2012-07-24,1.05,2.83,3.91,pos_then_up,positive,up
2012-10-23,0.76,-1.97,-1.22,pos_then_down,positive,down
2013-01-22,-0.13,-1.16,-1.29,neg_then_down,negative,down
2013-04-23,0.12,2.49,2.62,pos_then_up,positive,up
2013-07-23,0.38,-2.29,-1.92,pos_then_down,positive,down
2014-01-21,0.18,1.29,1.47,pos_then_up,positive,up
2014-07-22,-0.2,0.2,0.0,neg_then_up,negative,up
2014-10-21,-0.65,0.65,0.0,neg_then_up,negative,up
2015-01-20,0.69,-1.02,-0.34,pos_then_down,positive,down
2015-04-21,-0.73,2.31,1.57,neg_then_up,negative,up
2015-07-21,-0.38,3.18,2.79,neg_then_up,negative,up
2015-10-20,-0.54,-1.42,-1.95,neg_then_down,negative,down
2016-01-15,1.34,-2.77,-1.46,pos_then_down,positive,down
2016-04-15,-0.92,1.15,0.23,neg_then_up,negative,up
2016-07-19,0.56,-0.11,0.45,pos_then_down,positive,down
2016-10-18,0.78,2.03,2.83,pos_then_up,positive,up
2017-01-20,-1.07,0.14,-0.93,neg_then_up,negative,up
2017-04-18,0.97,-0.82,0.15,pos_then_down,positive,down
2017-07-21,0.21,0.98,1.19,pos_then_up,positive,up
2017-10-24,0.06,0.78,0.84,pos_then_up,positive,up
2018-01-19,1.23,1.38,2.62,pos_then_up,positive,up
2018-04-20,0.37,-0.53,-0.16,pos_then_down,positive,down
2018-07-20,0.17,2.35,2.53,pos_then_up,positive,up
2018-10-23,-0.37,-4.69,-5.04,neg_then_down,negative,down
2019-04-18,-0.46,0.4,-0.07,neg_then_up,negative,up
2019-07-19,0.2,-0.26,-0.07,pos_then_down,positive,down
2019-10-22,-0.18,0.56,0.37,neg_then_up,negative,up
2020-01-17,-0.61,-0.25,-0.85,neg_then_down,negative,down
2020-04-17,-3.26,2.06,-1.26,neg_then_up,negative,up
2020-07-17,-1.16,0.29,-0.87,neg_then_up,negative,up
2020-10-20,0.08,-1.24,-1.16,pos_then_down,positive,down
2021-01-22,-1.58,1.49,-0.11,neg_then_up,negative,up
2021-04-23,0.82,1.49,2.33,pos_then_up,positive,up
2021-07-23,0.99,0.26,1.26,pos_then_up,positive,up
2021-10-22,1.49,-0.94,0.54,pos_then_down,positive,down
2022-01-20,-0.18,-1.25,-1.43,neg_then_down,negative,down
2022-04-22,-0.98,2.08,1.08,neg_then_up,negative,up
2022-07-22,1.45,1.62,3.1,pos_then_up,positive,up
2022-10-21,0.87,4.37,5.28,pos_then_up,positive,up
2023-01-20,0.62,0.57,1.19,pos_then_up,positive,up
2023-04-18,1.39,1.37,2.78,pos_then_up,positive,up
2023-07-21,1.17,0.25,1.42,pos_then_up,positive,up
2023-10-20,-1.32,-0.42,-1.73,neg_then_down,negative,down
2024-01-19,0.7,1.71,2.42,pos_then_up,positive,up
2024-04-19,-0.32,1.8,1.48,neg_then_up,negative,up
2024-07-19,0.23,1.13,1.36,pos_then_up,positive,up
2024-10-18,0.97,-1.75,-0.8,pos_then_down,positive,down
2025-01-17,0.25,1.61,1.86,pos_then_up,positive,up
2025-04-17,-0.83,-0.31,-1.14,neg_then_down,negative,down
2025-07-18,0.58,-0.42,0.15,pos_then_down,positive,down
