# Post-Earnings Next-Day Outcomes for ITW
# total_earnings=81, considered=79, excluded_c2o_zero=1, excluded_o2c_zero=1
# sum_pct=100.0
Scenario,Count,Denominator,Fraction,Percent,Dates
"After +C→O, next day UP",24,79,24/79 = 30.38%,30.38,2022-08-02;2022-05-03;2021-04-30;2021-02-05;2020-07-31;2020-01-31;2019-04-25;2019-02-01;2018-10-24;2018-01-24;2017-10-23;2016-01-27;2015-10-21;2014-07-29;2014-04-22;2013-10-08;2013-04-23;2012-04-24;2012-01-31;2011-06-28;2010-04-20;2009-07-22;2005-07-21;2004-10-19
"After +C→O, next day DOWN",30,79,30/79 = 37.97%,37.97,2025-04-30;2025-02-05;2024-10-30;2024-04-30;2022-10-25;2021-07-30;2020-05-05;2019-10-25;2019-07-26;2018-04-26;2017-07-24;2017-01-25;2016-04-20;2015-07-22;2015-01-27;2014-10-21;2014-01-28;2013-07-23;2012-10-23;2012-07-24;2011-10-25;2011-01-31;2010-07-20;2010-01-27;2008-07-17;2007-10-17;2007-04-18;2006-07-20;2006-04-20;2005-10-19
"After −C→O, next day UP",15,79,15/79 = 18.99%,18.99,2025-07-30;2024-02-01;2023-10-24;2021-10-28;2018-07-23;2017-04-24;2016-10-20;2013-01-29;2011-04-21;2010-10-19;2008-10-07;2008-01-09;2007-01-30;2006-10-18;2006-01-31
"After −C→O, next day DOWN",10,79,10/79 = 12.66%,12.66,2024-07-30;2023-08-01;2023-05-02;2023-02-02;2020-10-23;2016-07-20;2009-10-20;2009-01-29;2008-04-16;2007-07-19
