# Post-Earnings Next-Day Outcomes for GIS
# total_earnings=85, considered=83, excluded_c2o_zero=2, excluded_o2c_zero=0
# sum_pct=100.0
Scenario,Count,Denominator,Fraction,Percent,Dates
"After +C->O, next day UP",24,83,24/83 = 28.92%,28.92,2005-03-22;2005-12-13;2008-03-19;2011-03-23;2011-12-20;2012-06-27;2012-12-19;2013-05-31;2014-03-14;2014-06-25;2014-09-17;2014-12-17;2015-09-22;2016-06-29;2017-12-20;2019-05-29;2020-07-01;2020-09-23;2021-09-22;2021-12-21;2022-03-23;2022-09-21;2022-12-20;2023-03-23
"After +C->O, next day DOWN",25,83,25/83 = 30.12%,30.12,2004-12-21;2007-03-22;2007-06-28;2007-12-19;2008-06-18;2008-09-17;2008-12-17;2009-03-18;2009-09-23;2009-12-17;2010-03-24;2012-03-21;2012-09-06;2013-12-18;2015-07-01;2018-09-18;2019-12-18;2020-03-18;2021-06-30;2023-06-28;2023-12-20;2024-03-20;2024-06-26;2025-03-19;2025-06-25
"After -C->O, next day UP",19,83,19/83 = 22.89%,22.89,2006-09-21;2006-12-21;2007-09-06;2009-06-08;2010-06-29;2011-09-21;2013-03-20;2013-09-03;2015-12-17;2016-03-23;2016-12-20;2018-12-19;2019-03-20;2019-09-18;2021-03-24;2022-06-29;2024-09-18;2024-12-18;2025-09-17
"After -C->O, next day DOWN",15,83,15/83 = 18.07%,18.07,2004-09-21;2005-06-29;2005-09-22;2006-06-14;2010-09-22;2010-12-16;2011-06-29;2015-03-18;2017-03-21;2017-06-28;2017-09-20;2018-03-21;2018-06-27;2020-12-17;2023-09-20
