# Post-Earnings Next-Day Outcomes for NDAQ
# total_earnings=85, considered=83, excluded_c2o_zero=2, excluded_o2c_zero=0
# sum_pct=100.0
Scenario,Count,Denominator,Fraction,Percent,Dates
"After +C->O, next day UP",22,83,22/83 = 26.51%,26.51,2005-01-25;2005-04-21;2005-07-28;2005-10-26;2007-10-24;2009-05-07;2009-08-06;2011-04-20;2011-07-27;2011-10-26;2012-10-24;2013-01-31;2013-04-24;2015-07-23;2016-01-28;2018-10-24;2021-01-12;2022-07-20;2022-10-19;2025-01-29;2025-04-24;2025-07-24
"After +C->O, next day DOWN",30,83,30/83 = 36.14%,36.14,2006-07-20;2006-10-19;2007-02-13;2007-04-16;2010-02-08;2010-04-30;2010-07-27;2010-10-29;2011-02-02;2012-07-25;2014-02-05;2014-04-24;2015-10-22;2017-07-26;2017-10-25;2018-04-25;2019-07-24;2019-10-23;2020-04-22;2020-07-22;2020-10-21;2021-04-21;2021-07-21;2022-01-26;2022-04-20;2023-04-19;2023-07-19;2023-10-18;2024-07-25;2024-10-24
"After -C->O, next day UP",17,83,17/83 = 20.48%,20.48,2007-07-19;2008-08-06;2009-11-05;2012-02-01;2012-04-25;2013-07-24;2014-07-24;2014-10-24;2015-01-29;2016-07-27;2017-01-31;2018-01-31;2019-01-30;2019-04-24;2020-01-29;2023-01-25;2024-04-25
"After -C->O, next day DOWN",14,83,14/83 = 16.87%,16.87,2006-01-30;2006-04-21;2008-01-31;2008-05-08;2008-11-06;2009-02-26;2015-04-23;2016-04-27;2016-10-26;2017-04-26;2018-07-25;2021-10-20;2024-01-31;2025-10-21
