# Post-Earnings Next-Day Outcomes for CF
# total_earnings=81, considered=81, excluded_c2o_zero=0, excluded_o2c_zero=0
# sum_pct=100.0
Scenario,Count,Denominator,Fraction,Percent,Dates
"After +C→O, next day UP",16,81,16/81 = 19.75%,19.75,2024-08-07;2023-05-01;2019-07-31;2019-02-13;2018-08-01;2017-05-03;2016-02-17;2014-02-18;2013-05-08;2011-11-01;2011-05-05;2010-02-16;2009-04-23;2008-10-27;2007-07-31;2005-10-13
"After +C→O, next day DOWN",21,81,21/81 = 25.93%,25.93,2025-05-07;2024-10-30;2024-02-14;2023-08-02;2022-05-04;2021-02-17;2020-08-05;2020-05-06;2018-02-14;2017-11-01;2014-08-06;2013-08-06;2012-11-05;2011-08-04;2010-08-05;2010-05-07;2009-07-27;2009-02-10;2008-02-07;2007-10-29;2007-02-08
"After −C→O, next day UP",26,81,26/81 = 32.10%,32.1,2023-11-01;2023-02-15;2022-11-02;2022-08-01;2022-02-15;2021-11-04;2021-08-09;2021-05-05;2020-11-04;2019-05-01;2018-10-31;2018-05-02;2017-08-02;2015-05-06;2015-02-17;2014-11-05;2014-05-07;2012-08-06;2010-11-04;2009-10-26;2008-07-28;2008-04-24;2007-04-26;2006-10-27;2006-07-28;2006-04-28
"After −C→O, next day DOWN",18,81,18/81 = 22.22%,22.22,2025-11-05;2025-08-06;2025-02-19;2024-05-01;2020-02-12;2019-10-30;2017-02-15;2016-11-02;2016-08-03;2016-05-04;2015-11-05;2015-08-06;2013-11-04;2013-02-19;2012-05-03;2012-02-15;2011-02-17;2006-02-24
