# Post-Earnings Next-Day Outcomes for FTNT
# total_earnings=64, considered=64, excluded_c2o_zero=0, excluded_o2c_zero=0
# sum_pct=100.0
Scenario,Count,Denominator,Fraction,Percent,Dates
"After +C->O, next day UP",18,64,18/64 = 28.12%,28.12,2010-04-28;2010-10-21;2011-01-25;2011-04-27;2011-10-24;2012-07-25;2013-01-30;2015-04-20;2016-04-26;2017-02-02;2018-02-05;2018-08-01;2019-10-31;2020-05-06;2021-04-29;2022-02-03;2024-08-06;2024-11-07
"After +C->O, next day DOWN",19,64,19/64 = 29.69%,29.69,2010-01-27;2012-01-31;2012-04-24;2013-07-30;2013-10-23;2014-01-29;2014-04-23;2014-07-23;2014-10-22;2015-07-22;2016-01-28;2019-08-01;2020-10-29;2021-02-04;2021-11-04;2022-05-04;2023-02-07;2024-02-06;2025-02-06
"After -C->O, next day UP",13,64,13/64 = 20.31%,20.31,2010-07-22;2013-04-10;2016-07-28;2016-10-11;2017-10-26;2020-08-06;2021-07-29;2022-11-02;2023-05-04;2023-11-02;2025-05-07;2025-08-06;2025-11-05
"After -C->O, next day DOWN",14,64,14/64 = 21.88%,21.88,2011-07-19;2012-10-16;2015-01-28;2015-10-22;2017-04-27;2017-07-26;2018-05-03;2018-11-01;2019-02-06;2019-05-02;2020-02-06;2022-08-03;2023-08-03;2024-05-02
