Ticker
ARE
MAA
REG
INCY
MNST
IT
FI
KMI
LEN
GOOGL
CF
DDOG
HOLX
CRM
AJG
DRI
NDSN
RSG
YUM
WST
MU
IQV
EXR
EQR
MET
USB
POOL
EG
STX
TJX
LRCX
CI
TEAM
IDXX
CARR
RL
TRGP
DOC
EXC
MO
PNC
UNH
ORCL
EMN
INTU
ALB
ODFL
APP
BDX
ASML
NXPI
TGT
HPE
VTR
NRG
PDD
APA
BIIB
COIN
APH
L
UNP
BG
SPG
GPN
SW
FOXA
VICI
UBER
CAG
WM
GNRC
DASH
PKG
VRTX
DHR
XYL
HCA
KEY
BXP
CFG
MCD
DOW
AVY
FTNT
ALL
SYF
KVUE
MKTX
CAH
ES
TECH
EBAY
WAB
JPM
COO
LOW
TSCO
WDC
STT
ABBV
ORLY
NUE
BA
ROST
EMR
KEYS
GWW
SMCI
AXP
D
PGR
WFC
AIG
O
SYY
NVDA
UPS
MSTR
PANW
IPG
CTSH
AAPL
ERIE
VLO
HUM
FDS
LKQ
GM
TAP
SRE
AON
PH
VTRS
CMCSA
AXON
PSX
PNW
WMB
ETR
LMT
CME
SNPS
ETN
SBAC
FDX
AMAT
NSC
PEP
TYL
PFE
IRM
AOS
CNP
LW
REGN
ABT
SJM
XOM
MRVL
KDP
ECL
NVR
HSY
UAL
MA
MPWR
PYPL
K
TDG
CL
PTC
OTIS
C
BAX
IP
F
HBAN
HIG
VLTO
RCL
DLR
MOH
MCK
NKE
LYB
AMCR
APO
EQT
MHK
HAL
ADM
TSN
ISRG
LYV
MLM
DHI
EXPD
BX
COST
CHRW
CINF
PNR
PLD
HSIC
VRSK
JNJ
APD
CPT
HAS
HST
TER
SLB
AIZ
MTB
CPAY
PWR
CEG
TTWO
JCI
MTD
STE
TMUS
FRT
CTAS
PPL
URI
IVZ
ENPH
TDY
AWK
ARM
ZBRA
CDW
DLTR
GILD
ALLE
STZ
LDOS
SO
CAT
ULTA
FANG
APTV
DAY
PCAR
CLX
BLK
CPRT
AZN
DXCM
HD
RJF
NOW
WBA
FCX
WYNN
ESS
EPAM
KO
EXPE
VST
TKO
XYZ
LLY
ELV
CSX
GL
ICE
WELL
FTV
PHM
MTCH
EVRG
TXN
KKR
IEX
KMX
NTRS
MRK
VZ
MMC
TFC
CPB
TT
PM
FOX
GE
TROW
PAYC
AMGN
BRO
TRMB
VMC
NEE
IBM
BSX
LIN
ED
T
MMM
BALL
KR
WY
PARA
COP
SBUX
BMY
DVN
GD
GOOG
MAS
NDAQ
PAYX
MDLZ
BKR
MGM
WAT
CMG
ANET
GS
AVB
MOS
GIS
FAST
LNT
PRU
RTX
PSA
UDR
KIM
NEM
FICO
TRV
WMT
KLAC
PPG
TEL
CB
AMD
MDT
COR
PODD
EW
GPC
JKHY
CSCO
DVA
IR
AMZN
BK
DG
TRI
TXT
CBRE
AKAM
DAL
MSCI
MSFT
ATO
MELI
CRL
BLDR
SWK
RMD
HRL
VRSN
CMI
WRB
QCOM
UHS
SYK
GDDY
TSLA
HII
ALGN
PEG
DECK
LH
AFL
ROK
LULU
TTD
ZTS
BEN
ADBE
SNA
KHC
DE
CBOE
GEHC
ADI
FIS
OKE
ITW
CZR
DELL
AMP
OXY
PFG
AEP
CHTR
MSI
DOV
BKNG
DPZ
CHD
FITB
PCG
WBD
ZS
BBY
SWKS
EIX
LUV
MS
CTRA
TPL
DTE
GEV
AME
ROP
EL
LHX
JBL
TMO
CTVA
FE
MKC
COF
J
ADP
ACGL
DGX
EQIX
NFLX
DUK
STLD
V
SPGI
META
NCLH
ZBH
FFIV
RF
CRWD
BAC
SHOP
CCL
PLTR
AEE
GLW
AVGO
NWS
FSLR
INVH
GRMN
MAR
CMS
ABNB
NI
WDAY
MCHP
CVX
DIS
MPC
EXE
HPQ
IFF
MRNA
ACN
CCI
GEN
INTC
XEL
LII
DD
RVTY
SOLV
WEC
AES
GFS
CCEP
NWSA
BR
EA
OMC
NOC
CVS
CNC
CSGP
EOG
HWM
ROL
WTW
MCO
TPR
HLT
CDNS
ADSK
KMB
ON
NTAP
SCHW
EFX
A
PG
HUBB
LVS
AMT
WSM
SHW
HON
AZO
JBHT
