date,ticker,close_to_open_pct,open_to_close_pct,trade_return_pct,n_trades_that_day,avg_daily_return_pct,equity_before,equity_after,cumulative_return_pct
2018-01-09,SYK,-0.24,-0.54,0.54,1,0.54,1.0,1.0054,0.54
2018-01-10,ISRG,-0.42,-0.15,0.15,1,0.15,1.0054,1.0069081,0.69081
2018-01-18,IBM,-2.76,-1.27,1.27,1,1.27,1.0069081,1.01969583,1.969583
2018-01-22,NFLX,12.07,-1.87,-1.87,1,-1.87,1.01969583,1.00062752,0.062752
2018-01-23,VZ,1.11,0.74,0.74,1,0.74,1.00062752,1.00803216,0.803216
2018-01-30,EA,9.14,-2.0,-2.0,2,-0.845,1.00803216,0.99951429,-0.048571
2018-01-30,SMCI,-7.1,-0.31,0.31,2,-0.845,1.00803216,0.99951429,-0.048571
2018-01-31,BXP,-0.1,-3.56,3.56,2,-0.135,0.99951429,0.99816495,-0.183505
2018-01-31,GEN,-3.23,3.83,-3.83,2,-0.135,0.99951429,0.99816495,-0.183505
2018-02-01,EW,5.34,-1.44,-1.44,2,-2.225,0.99816495,0.97595578,-2.404422
2018-02-01,MSCI,0.43,-3.01,-3.01,2,-2.225,0.99816495,0.97595578,-2.404422
2018-02-02,WY,-0.56,-1.94,1.94,1,1.94,0.97595578,0.99488932,-0.511068
2018-02-05,SYY,-1.84,5.71,-5.71,1,-5.71,0.99488932,0.93808114,-6.191886
2018-02-06,CMG,-10.08,-0.52,0.52,2,-1.68,0.93808114,0.92232138,-7.767862
2018-02-06,GILD,-0.88,3.88,-3.88,2,-1.68,0.93808114,0.92232138,-7.767862
2018-02-08,EXPE,-14.65,-0.95,0.95,4,-2.67,0.92232138,0.8976954,-10.23046
2018-02-08,MHK,0.95,-3.68,-3.68,4,-2.67,0.92232138,0.8976954,-10.23046
2018-02-08,RSG,1.66,-2.82,-2.82,4,-2.67,0.92232138,0.8976954,-10.23046
2018-02-08,TRMB,2.01,-5.13,-5.13,4,-2.67,0.92232138,0.8976954,-10.23046
2018-02-12,MOH,-3.05,-0.71,0.71,1,0.71,0.8976954,0.90406903,-9.593097
2018-02-15,GPN,0.3,1.47,1.47,1,1.47,0.90406903,0.91735885,-8.264115
2018-02-20,FE,2.16,-2.24,-2.24,2,-3.005,0.91735885,0.88979221,-11.020779
2018-02-20,WMT,1.06,-3.77,-3.77,2,-3.005,0.91735885,0.88979221,-11.020779
2018-02-22,FSLR,-1.09,-5.75,5.75,1,5.75,0.88979221,0.94095527,-5.904473
2018-03-15,JBL,5.44,4.43,4.43,1,4.43,0.94095527,0.98263959,-1.736041
2018-04-16,NFLX,7.11,1.94,1.94,1,1.94,0.98263959,1.00170279,0.170279
2018-04-17,IBM,-5.45,-2.2,2.2,2,3.005,1.00170279,1.03180396,3.180396
2018-04-17,ISRG,4.2,3.81,3.81,2,3.005,1.00170279,1.03180396,3.180396
2018-04-23,FE,0.72,-1.32,-1.32,1,-1.32,1.03180396,1.01818415,1.818415
2018-04-24,EW,-7.92,4.44,-4.44,3,-0.88,1.01818415,1.00922413,0.922413
2018-04-24,TRMB,-0.39,-1.72,1.72,3,-0.88,1.01818415,1.00922413,0.922413
2018-04-24,VZ,0.79,0.08,0.08,3,-0.88,1.01818415,1.00922413,0.922413
2018-04-25,BXP,0.16,1.74,1.74,2,5.27,1.00922413,1.06241024,6.241024
2018-04-25,CMG,14.38,8.8,8.8,2,5.27,1.00922413,1.06241024,6.241024
2018-04-26,EXPE,9.53,-1.21,-1.21,4,0.76,1.06241024,1.07048456,7.048456
2018-04-26,FSLR,1.23,2.57,2.57,4,0.76,1.06241024,1.07048456,7.048456
2018-04-26,MHK,-2.95,-1.42,1.42,4,0.76,1.06241024,1.07048456,7.048456
2018-04-26,SYK,1.26,0.26,0.26,4,0.76,1.06241024,1.07048456,7.048456
2018-04-30,MOH,0.46,-1.46,-1.46,1,-1.46,1.07048456,1.05485548,5.485548
2018-05-01,GILD,-5.93,-2.02,2.02,1,2.02,1.05485548,1.07616357,7.616357
2018-05-02,RSG,2.58,1.83,1.83,1,1.83,1.07616357,1.09585736,9.585736
2018-05-03,GPN,-0.22,-0.22,0.22,3,0.326667,1.09585736,1.09943716,9.943716
2018-05-03,MSCI,-0.67,2.65,-2.65,3,0.326667,1.09585736,1.09943716,9.943716
2018-05-03,SMCI,13.85,3.41,3.41,3,0.326667,1.09585736,1.09943716,9.943716
2018-05-07,SYY,-0.55,-0.62,0.62,1,0.62,1.09943716,1.10625367,10.625367
2018-05-08,EA,3.31,2.36,2.36,1,2.36,1.10625367,1.13236126,13.236126
2018-05-10,GEN,-31.39,-2.5,2.5,1,2.5,1.13236126,1.16067029,16.067029
2018-05-17,WMT,-0.3,-0.71,0.71,1,0.71,1.16067029,1.16891105,16.891105
2018-06-14,JBL,-0.4,-6.13,6.13,1,6.13,1.16891105,1.24056529,24.056529
2018-07-16,NFLX,-13.37,9.38,-9.38,1,-9.38,1.24056529,1.12420027,12.420027
2018-07-18,IBM,2.3,0.94,0.94,1,0.94,1.12420027,1.13476775,13.476775
2018-07-19,ISRG,2.85,-3.61,-3.61,1,-3.61,1.13476775,1.09380264,9.380264
2018-07-24,SYK,-2.56,0.88,-0.88,2,-1.195,1.09380264,1.08073169,8.073169
2018-07-24,VZ,0.35,-1.51,-1.51,2,-1.195,1.09380264,1.08073169,8.073169
2018-07-25,GILD,-1.46,0.5,-0.5,2,2.34,1.08073169,1.10602082,10.602082
2018-07-25,MHK,-13.0,-5.18,5.18,2,2.34,1.08073169,1.10602082,10.602082
2018-07-26,CMG,6.06,-0.33,-0.33,6,-0.116667,1.10602082,1.10473046,10.473046
2018-07-26,EA,-4.9,-0.84,0.84,6,-0.116667,1.10602082,1.10473046,10.473046
2018-07-26,EW,-5.3,-3.38,3.38,6,-0.116667,1.10602082,1.10473046,10.473046
2018-07-26,EXPE,9.75,-0.2,-0.2,6,-0.116667,1.10602082,1.10473046,10.473046
2018-07-26,FSLR,-5.72,2.08,-2.08,6,-0.116667,1.10602082,1.10473046,10.473046
