entry_month,entry_date,strategy_forward_cagr_pct,sp500_forward_cagr_pct,diff_pp
2018-01,2018-01-09,14.08208876106074,11.5426437120707,2.539445048990041
2018-02,2018-02-01,14.71449769481441,11.24316305166917,3.4713346431452408
2018-03,2018-03-15,14.866593847730147,11.887580047907885,2.979013799822262
2018-04,2018-04-16,14.744971700426612,12.48355795126943,2.2614137491571817
2018-05,2018-05-01,13.60813001632577,12.712227000220434,0.8959030161053363
2018-06,2018-06-14,11.417911785425838,12.150170071098799,-0.7322582856729607
2018-07,2018-07-16,13.305812880328105,12.225836714697657,1.0799761656304483
2018-08,2018-08-01,12.503492234686187,12.22111913101771,0.28237310366847623
2018-09,2018-09-25,15.432854840849197,11.891673304647243,3.541181536201954
2018-10,2018-10-16,15.799249524989346,12.680384083777852,3.1188654412114936
2018-11,2018-11-01,17.89293779139085,13.238593895533167,4.654343895857682
2018-12,2018-12-18,18.482233625589583,14.940099309447618,3.542134316141965
2019-01,2019-01-03,17.5556300679234,15.820509490876255,1.7351205770471445
2019-02,2019-02-01,17.663012465888215,14.084381415147206,3.5786310507410093
2019-03,2019-03-14,16.50817945665084,13.646275997757318,2.861903458893522
2019-04,2019-04-16,17.2178625488838,13.187830717297722,4.030031831586079
2019-05,2019-05-01,17.17413617422341,13.175165197514115,3.9989709767092947
2019-06,2019-06-18,18.269847552147844,13.552402181793655,4.71744537035419
2019-07,2019-07-17,19.166212239067626,13.290963705041658,5.8752485340259675
2019-08,2019-08-01,18.721447068526565,13.618072598874242,5.103374469652323
2019-09,2019-09-24,17.08724080672601,13.932577627525466,3.1546631792005453
2019-10,2019-10-16,17.658251307674156,13.934853587169172,3.723397720504984
2019-11,2019-11-04,16.30566281418804,13.437460078520335,2.8682027356677047
2019-12,2019-12-16,12.88879340018183,12.94898588452067,-0.06019248433883995
2020-01,2020-01-09,12.474649601896925,12.544027640197264,-0.06937803830033928
2020-02,2020-02-03,13.98770332620396,12.913953074358986,1.0737502518449737
2020-03,2020-03-13,14.821471407792352,17.60350766616712,-2.7820362583747666
2020-04,2020-04-06,16.755931602034856,18.312898743880535,-1.5569671418456785
2020-05,2020-05-01,19.2832034810972,17.060226707090465,2.222976774006735
2020-06,2020-06-19,20.11440653010603,15.277977895836203,4.8364286342698275
2020-07,2020-07-16,20.379536924651177,14.58124131019538,5.798295614455796
2020-08,2020-08-03,20.198680649528654,14.12187675139509,6.076803898133564
2020-09,2020-09-24,19.45130121535048,15.028382670433027,4.422918544917453
2020-10,2020-10-08,20.573841927695803,13.54387741544658,7.029964512249222
2020-11,2020-11-02,22.472140511359996,14.903944289812387,7.568196221547609
