# TOP 30 TOTAL MOMENTUM (Earnings Days)
ticker,pct_momentum_total
PLTR,68.42
NFLX,67.78
NVDA,66.1
AVGO,64.71
CEG,64.29
PYPL,62.5
ZS,62.07
MRVL,61.86
CDW,61.7
TRI,60.87
TEAM,60.53
ISRG,59.6
CSGP,58.25
DXCM,56.96
AXON,56.76
MU,56.59
GEHC,55.56
GILD,55.46
TMUS,55.41
MSFT,55.38
LRCX,55.28
CSCO,54.76
AMZN,54.46
ADBE,54.2
CCEP,54.1
KHC,53.85
CTSH,53.85
TXN,53.85
PAYX,53.49
BKNG,53.33

# TOP 30 POSITIVE MOMENTUM (Positive Open → Stronger Close)
ticker,pct_momentum_pos
ARM,100.0
ABNB,85.71
TTD,70.0
MNST,69.57
DXCM,68.42
CSGP,67.92
NVDA,66.67
TEAM,66.67
CEG,66.67
ISRG,65.38
ORLY,65.15
TMUS,63.27
CCEP,63.16
AVGO,63.16
SBUX,62.75
ZS,62.5
PYPL,61.9
NFLX,61.7
CDW,60.87
MRVL,60.71
GILD,60.34
ROST,60.0
WDAY,59.09
CPRT,59.09
KHC,58.82
ADSK,58.73
PLTR,58.33
PEP,57.97
LRCX,57.97
TRI,57.78

# TOP 30 NEGATIVE MOMENTUM (Negative Open → Weaker Close)
ticker,pct_momentum_neg
PLTR,85.71
NFLX,74.42
MSFT,70.91
GOOGL,69.7
AVGO,69.23
MU,68.66
BKNG,66.67
TSLA,66.67
NVDA,65.22
TRI,63.83
PDD,63.64
MRVL,63.41
PYPL,63.16
GOOG,63.16
AXON,62.96
ADBE,62.75
CDW,62.5
AMD,61.54
ZS,61.54
FTNT,60.87
CEG,60.0
GEHC,60.0
TEAM,59.09
TTWO,58.97
LULU,58.06
VRTX,57.81
CTAS,57.69
META,57.14
ISRG,56.82
REGN,56.25
